Energy (MeV),Depth (g/cm2),Active
0.0,22.84397382157062,0.0
0.0,26.04533322817235,0.0
0.0,32.136428338772554,0.0
0.0,25.49360947559108,0.0
0.0,8.954622136075177,0.0
0.0,9.912881238374775,0.0
0.0,30.009453633724696,0.0
0.0,33.917081419239196,0.0
0.0,8.902828610319206,0.0
0.0,11.325605978311804,0.0
0.0,39.337286204986924,0.0
0.0,37.83901201169737,0.0
0.0,25.10661026400586,0.0
0.0,25.21682569577523,0.0
0.0,16.44536644011316,0.0
0.0,14.19296878562201,0.0
0.0,16.090261432763892,0.0
0.0,16.09026143276389,0.0
0.0,18.183639895661777,0.0
0.0,24.83586929111388,0.0
0.0,15.648781824038998,0.0
0.0,22.441585561473282,0.0
0.0,51.504228788863436,0.0
0.0,47.11178325648066,0.0
0.0,43.850109291023834,0.0
0.0,39.851085420779626,0.0
0.0,20.041998226933785,0.0
0.0,20.143003165148112,0.0
0.0,44.731926767173135,0.0
0.0,52.14330437156803,0.0
0.0,35.897796097368136,0.0
0.0,35.89779609736813,0.0
0.0,21.282956641585272,0.0
0.0,18.959983940973864,0.0
0.0,6.5615906338511305,0.0
0.0,6.5615906338511305,0.0
0.0,53.77285222304538,0.0
0.0,55.53135887187649,0.0
0.0,63.46330818553933,0.0
0.0,61.65556231828329,0.0
0.0,24.506502854815533,0.0
0.0,24.506502854815537,0.0
0.0,34.613288093181175,0.0
0.0,35.39464071302774,0.0
0.0,18.077086037871183,0.0
0.0,18.539634543492824,0.0
0.0,20.638586958755955,0.0
0.0,20.638586958755955,0.0
43.11944693529594,143.2630460221599,1.0
43.119446935295905,135.23209673145817,1.0
0.0,16.667286181258326,0.0
0.0,18.121516277098713,0.0
0.0,34.20367412675618,0.0
0.0,36.28910530327565,0.0
0.0,43.06466720463026,0.0
0.0,43.06466720463026,0.0
0.0,25.29157560744172,0.0
0.0,25.29157560744172,0.0
0.0,28.643643794988353,0.0
0.0,28.64364379498835,0.0
0.0,37.86874947451952,0.0
0.0,36.98841162684882,0.0
0.0,21.978607604838416,0.0
0.0,18.726543809126472,0.0
0.0,35.446614905115375,0.0
0.0,35.21436948146217,0.0
0.0,26.25189085330014,0.0
0.0,23.941406973010118,0.0
0.0,21.538729529875027,0.0
0.0,24.12621691705013,0.0
0.0,19.544543586983085,0.0
0.0,21.793174366827273,0.0
8.405997602175999,160.2919787248707,1.0
8.405997602175999,122.79073441181967,1.0
3.1791845810672203,136.77192463488882,1.0
3.1791845810672132,125.65940040026507,1.0
0.0,41.65667490874197,0.0
0.0,41.65667490874196,0.0
0.0,54.97598224674095,0.0
0.0,59.33793225524951,0.0
0.0,29.563326402685668,0.0
0.0,31.776891041943877,0.0
0.0,24.79263533761846,0.0
0.0,25.042292201910385,0.0
5.354965498909486,121.92644593716871,1.0
5.354965498909486,123.27738604790534,1.0
6.083414524005761,161.7981327515536,1.0
6.083414524005761,161.92119927971746,1.0
0.0,19.22049821159874,0.0
0.0,19.22049821159874,0.0
0.0,22.179112117814746,0.0
0.0,22.179112117814746,0.0
0.0,57.528623712646585,0.0
