Energy (MeV),I. Depth (g/cm2),C. Depth (g/cm2),Active
0.0,18.38509441655841,20.685841637234795,0.0
0.0,18.38509441655841,24.686347584468116,0.0
0.0,36.8045775761437,14.64138477921001,0.0
0.0,36.8045775761437,11.70608976028997,0.0
0.0,23.786886530062628,10.240322501305007,0.0
0.0,23.786886530062628,8.965871955653096,0.0
0.0,25.883827787968016,0.14235517448851454,0.0
0.0,25.883827787968016,7.190192479171113,0.0
69.78787680449066,46.12174515764315,45.975270598191244,1.0
65.30670690347466,46.12174515764315,57.958144549956344,1.0
0.0,53.076809974792354,9.259219470687505,0.0
0.0,53.076809974792354,6.5247330805840305,0.0
60.881127071876435,68.13636642201334,49.40409455102256,1.0
60.881127071876435,68.13636642201334,54.19263031256504,1.0
0.0,33.433841674513964,0.8501315739654878,0.0
0.0,33.433841674513964,0.2730804647435363,0.0
0.0,30.70944848249752,4.586394892604444,0.0
0.0,30.70944848249752,4.241505882752249,0.0
0.0,28.01087627301313,2.9789943464523363,0.0
0.0,28.01087627301313,2.9789943464523363,0.0
0.0,47.32888740947751,2.077111150571344,0.0
0.0,47.32888740947751,3.1925077146985537,0.0
0.0,46.94412621106408,5.354221015543029,0.0
0.0,46.94412621106408,3.8931692366347006,0.0
0.0,39.552760856954414,1.0728084792801686,0.0
0.0,39.552760856954414,1.0728084792801686,0.0
8.422763394813382,58.612937216444536,35.93822468961035,1.0
8.422763394813382,58.612937216444536,72.23688791123938,1.0
0.0,44.39871202630414,10.156320208560388,0.0
0.0,44.39871202630414,9.96223532522376,0.0
0.0,38.414969604541895,2.39397969501153,0.0
0.0,38.414969604541895,2.940508877294585,0.0
126.20868620592255,55.54721620254573,63.77173731243673,1.0
126.67532002026617,55.54721620254573,35.803431017526705,1.0
267.98559475822026,60.437746062538224,59.289227746273156,1.0
267.98559475822026,60.437746062538224,57.26692615394096,1.0
4.985953400168971,64.22302244456773,55.54149055466964,1.0
4.985953400168971,64.22302244456773,60.37834740151018,1.0
0.0,36.7358202040716,2.161778601638691,0.0
0.0,36.7358202040716,2.0250903433391203,0.0
0.0,48.020242102663154,4.430934495897535,0.0
0.0,48.020242102663154,2.7652315310431406,0.0
1.995888113685466,58.40316142330485,99.33348556233734,1.0
1.995888113685466,58.40316142330485,61.40116021758386,1.0
