Energy (MeV),Depth (g/cm2),Active
0.5763626953199008,33.586461127088725,1.0
0.0,35.32258027369935,0.0
0.0,50.288693699447094,0.0
0.0,44.748441832343495,0.0
5.558184045254986,26.626795018840596,1.0
0.0,31.987246571384,0.0
0.0,46.624833404093934,0.0
0.0,47.84920126550786,0.0
0.0,32.74647269346145,0.0
0.0,36.24360322750521,0.0
5.31118518609433,42.53681548767097,1.0
0.0,48.501837688637664,0.0
0.0,58.96735410737144,0.0
0.0,49.00037512042521,0.0
0.0,29.48348559592352,0.0
0.0,30.738932633078846,0.0
1.29016061009595,24.894033291482625,1.0
0.0,33.15588671637534,0.0
0.0,35.89152762283217,0.0
0.0,27.844670128716846,0.0
0.0,53.51810268972223,0.0
0.0,40.32856419311753,0.0
0.0,50.301260154910125,0.0
5.810999229694119,48.52853351435524,1.0
0.0,64.14849265108423,0.0
5.019365519290115,48.19693780543192,1.0
0.0,42.88967307037126,0.0
0.0,52.22835394182532,0.0
0.0,44.86283078175623,0.0
0.0,46.46111093531112,0.0
0.0,72.60656304343713,0.0
0.0,71.47399763007122,0.0
4.195008324792486,41.9190848008949,1.0
3.289279777785538,42.23655589425626,1.0
0.0,49.96921731666119,0.0
5.860219808099002,41.73679492005177,1.0
1.0186483163230249,46.30638965486378,1.0
1.0186483163230249,46.30638965486378,1.0
3.574236996462018,50.9129415076507,1.0
3.574236996462018,50.9129415076507,1.0
1.1507683331112548,48.10220392932709,1.0
1.1507683331112548,48.10220392932709,1.0
2.8294521788608713,47.10435394896548,1.0
2.8294521788608713,47.10435394896548,1.0
3.3535092285137162,31.720338761063687,1.0
3.3535092285137162,31.720338761063687,1.0
2.391691419662228,28.522178213936904,1.0
2.391691419662228,28.522178213936904,1.0
5.125313334694806,36.62669954831137,1.0
5.125313334694806,36.62669954831137,1.0
0.6371546559578363,40.666729428673335,1.0
0.0,41.31607370932193,0.0
0.0,57.70080977847533,0.0
5.121123519037472,50.258946443407794,1.0
0.0,64.81036015942303,0.0
0.0,67.78846669370301,0.0
5.636724968091829,46.580137135866366,1.0
5.636724968091829,46.580137135866366,1.0
4.158038460887878,52.34542711527688,1.0
0.0,55.41620873331647,0.0
6.411775311196164,63.3493499331538,1.0
6.411775311196164,63.3493499331538,1.0
1.8588299038546408,50.71637582155744,1.0
1.8588299038546408,50.71637582155744,1.0
3.4669924265121232,35.078020590324876,1.0
3.4669924265121232,35.078020590324876,1.0
3.5732542966689143,96.85206113797986,1.0
3.5732542966689143,96.85206113797986,1.0
1.7177940566979777,30.8515951791771,1.0
1.7177940566979777,30.8515951791771,1.0
0.0,65.98128127112983,0.0
5.9996265076217155,56.148691554867455,1.0
0.0,60.20782702302586,0.0
0.0,58.622474822303126,0.0
2.7782103358598182,63.57687074505229,1.0
2.7782103358598182,63.57687074505229,1.0
1.5658562737441248,59.35520475769553,1.0
1.5658562737441248,59.35520475769553,1.0
5.2118058509105145,66.26634513323833,1.0
5.2118058509105145,66.26634513323833,1.0
1.3395082079590712,49.34360116931357,1.0
1.3395082079590712,49.34360116931357,1.0
1.0778717420476316,45.39920258172799,1.0
1.0778717420476316,45.39920258172799,1.0
2.0610750510598517,42.739812681563144,1.0
2.0610750510598517,42.739812681563144,1.0
0.0,63.858536378417604,0.0
0.0,66.85205286172135,0.0
0.0,55.97943690628885,0.0
3.301897335703343,53.104194997732606,1.0
0.0,84.769138777948,0.0
0.0,83.92816852879388,0.0
0.0,78.08884739505956,0.0
5.720740074906122,66.20157052120986,1.0
3.941181279301755,54.85133967260965,1.0
3.941181279301755,54.85133967260965,1.0
5.2313873430947,49.60936123048827,1.0
5.2313873430947,49.60936123048827,1.0
0.0,54.78607712812394,0.0
3.8683361038939483,51.387794882318445,1.0
3.754443284330936,52.94869812453025,1.0
3.754443284330936,52.94869812453025,1.0
0.0,36.82480245763019,0.0
6.683550962710111,31.64193114745187,1.0
3.93984395065183,56.277669381404834,1.0
3.93984395065183,56.277669381404834,1.0
4.323239844873426,47.14284862947535,1.0
4.323239844873426,47.14284862947535,1.0
4.482500307110607,61.76538056924532,1.0
4.482500307110607,61.76538056924532,1.0
0.5294410471530755,61.419355375159455,1.0
0.5294410471530755,61.419355375159455,1.0
0.0,66.99304851896815,0.0
2.581473011090008,63.447490579449614,1.0
6.172035715306358,46.70998350914448,1.0
6.172035715306358,46.70998350914448,1.0
3.8068275108888363,43.67977563053737,1.0
3.8068275108888363,43.67977563053737,1.0
0.0,69.23555973552718,0.0
6.621341138907802,54.29977768944375,1.0
0.0,56.25362401873806,0.0
2.7452435386548304,51.86278957918334,1.0
2.631833552626342,75.60054926562478,1.0
2.631833552626342,75.60054926562478,1.0
3.218920703612694,69.9252190934565,1.0
3.218920703612694,69.9252190934565,1.0
3.2451716791412046,57.340540442323935,1.0
3.2451716791412046,57.340540442323935,1.0
2.2158783628949332,61.398500182348265,1.0
2.2158783628949332,61.398500182348265,1.0
0.0,95.94569913308617,0.0
6.523301722423933,73.52697953373935,1.0
2.832366271257275,57.16648867653277,1.0
2.832366271257275,57.16648867653277,1.0
5.573744374070542,67.29593264968723,1.0
5.573744374070542,67.29593264968723,1.0
5.353321172429709,66.09602896128361,1.0
5.353321172429709,66.09602896128361,1.0
4.306046437489654,68.38445916050286,1.0
4.306046437489654,68.38445916050286,1.0
4.508605923783673,73.4936062514708,1.0
4.508605923783673,73.4936062514708,1.0
2.8007917127196094,59.05401527551879,1.0
2.8007917127196094,59.05401527551879,1.0
1.4041097605413204,76.6743321280191,1.0
1.4041097605413204,76.6743321280191,1.0
