Energy (MeV),Depth (g/cm2),Active
0.0,42.113125930278386,0.0
0.0,38.80950626676594,0.0
0.0,49.39157149827948,0.0
0.0,46.04676466048775,0.0
0.0,27.288671892883038,0.0
0.0,25.681321776673503,0.0
0.0,53.968863384203694,0.0
0.0,51.53112861460207,0.0
0.0,38.64208953388328,0.0
0.0,33.83399392510378,0.0
0.0,62.715172152819804,0.0
0.0,59.95782837847871,0.0
0.0,56.199530674146345,0.0
0.0,51.43664884753007,0.0
0.0,42.45595440753435,0.0
0.0,36.73367408217044,0.0
0.0,46.71407470768459,0.0
0.0,34.39788823983494,0.0
0.0,54.96688058779732,0.0
0.0,37.42095339600963,0.0
0.0,34.06318073604411,0.0
0.0,36.69182044801124,0.0
0.0,48.99264515891628,0.0
0.0,49.244322190115696,0.0
0.0,66.03005862118525,0.0
38.67953893538371,95.99427590873628,1.0
0.0,45.75740158380398,0.0
0.0,46.25508467625242,0.0
0.0,32.06324025216327,0.0
0.0,36.125272151660084,0.0
0.0,69.77937926252963,0.0
0.0,56.059693918756096,0.0
0.0,60.943661331931175,0.0
0.0,61.87342614127904,0.0
0.0,39.474845482825906,0.0
0.0,25.89241508175047,0.0
0.0,56.79131935232385,0.0
0.0,47.264224050467064,0.0
0.0,61.19433849671805,0.0
0.0,67.87146868491473,0.0
142.94564549012975,143.86478011284302,1.0
142.94564549012975,155.27014151184758,1.0
0.0,58.26234765523189,0.0
0.0,52.52207148662378,0.0
0.0,43.51513718490663,0.0
0.0,47.55745628341989,0.0
0.0,53.4667365775383,0.0
0.0,41.64105854151241,0.0
0.0,30.219250312125975,0.0
0.0,39.67822008660178,0.0
35.346949531187,161.2095903213251,1.0
35.346949531187,244.23154543625472,1.0
0.0,37.376640334712704,0.0
0.0,36.133561332947856,0.0
0.0,53.287893015413786,0.0
0.0,40.45365722087253,0.0
0.0,33.55863483927417,0.0
0.0,41.80104074623906,0.0
0.0,40.806097334863665,0.0
0.0,42.409112311236875,0.0
0.0,56.018081879265566,0.0
0.0,55.66520953341645,0.0
0.0,27.261622645044667,0.0
0.0,38.63103672981931,0.0
14.934077590933548,123.95861055581015,1.0
14.934077590933548,128.19404625255473,1.0
0.0,60.55369064450789,0.0
0.0,57.63192060105376,0.0
0.0,37.31187066861063,0.0
0.0,36.83929320425773,0.0
0.0,70.51978400579972,0.0
0.0,50.50010684019266,0.0
0.0,53.34664348024949,0.0
0.0,60.78769229622362,0.0
0.0,51.50325440199346,0.0
0.0,63.85010750639256,0.0
0.0,46.2903660146901,0.0
0.0,54.91474331033813,0.0
0.0,60.03612938498612,0.0
0.0,58.99666937306819,0.0
0.0,66.02004666936602,0.0
0.0,38.856020461698535,0.0
0.0,42.174067759449485,0.0
0.0,40.47893282806389,0.0
0.0,59.943986575546035,0.0
0.0,57.5041110265437,0.0
0.0,64.57810396752089,0.0
0.0,59.13264933909691,0.0
0.0,39.42264715196933,0.0
0.0,40.686864853195665,0.0
49.91012997155288,120.05028241822703,1.0
77.25522518852468,114.31496960173679,1.0
0.0,59.20614367556514,0.0
0.0,48.650725113513154,0.0
0.0,44.79306044997041,0.0
0.0,51.23218769959644,0.0
187.35588655826777,138.11160291805658,1.0
187.35588655826777,146.6932504018912,1.0
169.8801560126597,127.78572894764186,1.0
169.8801560126597,123.64679589898056,1.0
23.15489545775641,155.71348005939117,1.0
23.15489545775641,170.31899490438204,1.0
0.0,66.07191438062236,0.0
0.0,52.60836264976483,0.0
10.653314135353455,153.11600498871059,1.0
10.653314135353455,131.94453627037376,1.0
0.0,56.66226944329625,0.0
0.0,67.8360790805237,0.0
0.0,36.32433142046643,0.0
0.0,38.421996099992356,0.0
0.0,45.97074654339986,0.0
0.0,44.07511879117102,0.0
0.0,42.48967778868153,0.0
0.0,41.722330097070284,0.0
0.0,49.734203298721404,0.0
0.0,54.491041367905964,0.0
9.890627166357154,130.14971143137416,1.0
9.890627166357154,117.62802180588498,1.0
41.90133894704657,145.86472986924483,1.0
41.90133894704657,105.37273901269957,1.0
17.178570680502474,113.90498898050811,1.0
17.178570680502474,166.9875411804467,1.0
0.0,53.67723007946203,0.0
0.0,68.70258325303519,0.0
0.0,57.81229497499835,0.0
0.0,56.54285545969921,0.0
0.0,46.21384530472553,0.0
0.0,56.212207182921915,0.0
0.0,62.52266788133291,0.0
0.0,65.95940864514654,0.0
0.0,53.90787458439189,0.0
0.0,62.954905129221295,0.0
0.0,39.30555226129874,0.0
0.0,38.62134515002987,0.0
0.0,50.64863498508095,0.0
0.0,57.76646600252049,0.0
0.0,45.395028925241064,0.0
