Energy (MeV),I. Depth (g/cm2),C. Depth (g/cm2),Active
0.0,0.1066065487683546,0.6681138058978036,0.0
0.0,0.1066065487683546,0.6395771736841738,0.0
0.0,3.2451188586284325,5.5783757725177905,0.0
0.0,3.2451188586284325,3.9559302734803516,0.0
0.0,45.33778049633984,2.936784933122693,0.0
0.0,45.33778049633984,1.5899758698841513,0.0
0.0,27.241477955717514,3.293783662266654,0.0
0.0,27.241477955717514,3.293783662266654,0.0
0.0,8.553540320420902,2.8565569148786247,0.0
0.0,8.553540320420902,1.3974074088118584,0.0
2.6426230977821117,55.73689723599553,17.228181695449294,1.0
4.183634218425125,55.73689723599553,33.38304429922832,1.0
0.0,20.164264845384345,0.6242247484533744,0.0
0.0,20.164264845384345,0.6242247484533747,0.0
0.0,11.450457243276897,1.3537995014867574,0.0
0.0,11.450457243276897,1.3537995014867572,0.0
1.7107034587413528,65.67478153438394,13.765725708902904,1.0
1.7107034587413528,65.67478153438394,6.238986742586388,1.0
0.940197898419842,59.32398675840556,13.474957581524297,1.0
0.940197898419842,59.32398675840556,12.327278559316797,1.0
0.0,54.01297522717105,6.284214316271718,0.0
0.0,54.01297522717105,13.0256854864093,0.0
0.7349521652562656,60.7660092803386,3.765180349969164,1.0
0.7349521652562656,60.7660092803386,12.856434858471568,1.0
0.0,57.0891394576749,2.6378713353807846,0.0
0.0,57.0891394576749,1.9588180437759681,0.0
0.0,3.9185627379809906,6.512555297698347,0.0
0.0,3.9185627379809906,9.949096053013994,0.0
0.0,47.551037760077946,1.2229020316783927,0.0
0.0,47.551037760077946,3.41289766964075,0.0
0.0,8.489290420285975,0.6939485002409569,0.0
0.0,8.489290420285975,1.764792845967912,0.0
0.08990393027667665,55.419851794571684,22.31343923973558,1.0
0.08990393027667931,55.419851794571684,41.00604474904281,1.0
0.0,11.391514317644859,1.7789737279184585,0.0
0.0,11.391514317644859,1.7789737279184585,0.0
0.0,11.54552252735788,1.243551555054981,0.0
0.0,11.54552252735788,1.243551555054981,0.0
0.0,13.861382870944428,0.7704936929883388,0.0
0.0,13.861382870944428,0.7704936929883388,0.0
0.0,22.548678236264756,1.8134442278037413,0.0
0.0,22.548678236264756,1.8134442278037417,0.0
0.0,50.37072071515998,0.4500904068748661,0.0
0.0,50.37072071515998,0.4500904068748661,0.0
0.0,15.103632913117487,1.8908615479729327,0.0
0.0,15.103632913117487,1.890861547972933,0.0
0.0,22.06640009186988,1.3858172980680985,0.0
0.0,22.06640009186988,1.3858172980680976,0.0
0.0,55.4821138230471,0.8592111952208608,0.0
0.0,55.4821138230471,15.337407482116385,0.0
0.0,6.725721537622371,8.221874338749586,0.0
0.0,6.725721537622371,7.270560855432278,0.0
0.0,15.609799035987166,0.39266339025505914,0.0
0.0,15.609799035987166,1.531681974381696,0.0
0.0,21.0379417726053,1.344932531650067,0.0
0.0,21.0379417726053,1.344932531650067,0.0
0.0,22.003885350882275,1.752384958103594,0.0
0.0,22.003885350882275,1.752384958103594,0.0
0.0,8.599435551517928,0.808181062249206,0.0
0.0,8.599435551517928,0.808181062249206,0.0
0.0,28.59645802566963,3.122007241133277,0.0
0.0,28.59645802566963,3.122007241133277,0.0
0.0,24.150301754554622,2.5524979490699584,0.0
0.0,24.150301754554622,2.5524979490699584,0.0
0.0,17.10269791277528,0.5182949097212788,0.0
0.0,17.10269791277528,2.7542335748021625,0.0
0.0,13.304845028028463,1.2686555985647967,0.0
0.0,13.304845028028463,1.2686555985647967,0.0
0.0,22.91124070482059,1.6296867948733587,0.0
0.0,22.91124070482059,1.6296867948733595,0.0
0.0,19.3665533241362,0.5117174623329168,0.0
0.0,19.3665533241362,0.5117174623329173,0.0
0.0,16.398749412972755,1.665281880351797,0.0
0.0,16.398749412972755,1.6652818803517975,0.0
0.0,16.8990355953043,5.864455012962594,0.0
0.0,16.8990355953043,1.0000399967803162,0.0
0.0,28.318059856905066,2.9689971530207058,0.0
0.0,28.318059856905066,1.7722156089232248,0.0
0.0,20.786669563907022,3.905370501777111,0.0
0.0,20.786669563907022,0.593664602965081,0.0
0.0,52.96386023825032,2.4165042965215204,0.0
0.0,52.96386023825032,8.254509579972462,0.0
0.0,34.288638564892466,1.1864714050611234,0.0
0.0,34.288638564892466,1.1864714050611234,0.0
0.0,21.767258139612718,0.7780619630634786,0.0
0.0,21.767258139612718,0.7780619630634786,0.0
0.0,26.530014493767297,3.463947691948175,0.0
0.0,26.530014493767297,2.1235782426551504,0.0
0.0,30.241151921385256,1.7167978307007004,0.0
0.0,30.241151921385256,1.7167978307007004,0.0
0.0,35.116524531551335,3.2692427868528866,0.0
0.0,35.116524531551335,3.2692427868528866,0.0
1.8093282338542296,67.65189544579474,61.727136118223136,1.0
1.8093282338542296,67.65189544579474,42.490458530303776,1.0
2.4524010999142236,74.78062170048882,48.21664637484372,1.0
2.4524010999142236,74.78062170048882,31.476489861521866,1.0
0.0,30.947452768459616,1.1196050036871026,0.0
0.0,30.947452768459616,1.1196050036871026,0.0
0.0,35.640365274784145,1.789789728333615,0.0
0.0,35.640365274784145,1.789789728333615,0.0
0.0,1.6343561873355223,7.670103966722809,0.0
0.0,1.6343561873355223,6.541894871950752,0.0
0.0,23.70711953068875,1.9197260412627135,0.0
0.0,23.70711953068875,1.9197260412627148,0.0
0.0,8.576039808726765,3.6664861156800086,0.0
0.0,8.576039808726765,1.4783507690904765,0.0
0.0,28.62426342889992,3.3038564974774243,0.0
0.0,28.62426342889992,3.3038564974774247,0.0
0.0,28.33642605338165,2.877214816114356,0.0
